Title,Description,Cycle,Status,Priority,Assignee
Add YAML metadata to Passion.md,Add standardized YAML front matter with title category tags connects_to created last_updated contributor status summary fields,Phase 1,Done,High,
Add YAML metadata to Patience.md,Add standardized YAML front matter with metadata fields for time cycles self-awareness,Phase 1,Done,High,
Add YAML metadata to Prophecy.md,Add standardized YAML front matter with metadata for inevitability language fate,Phase 1,Done,High,
Add YAML metadata to The Material.md,Add standardized YAML front matter with co-creation and mutual willingness metadata,Phase 1,Done,High,
Add YAML metadata to There Are No Rules.md,Add standardized YAML front matter with chaos structure paradox metadata,Phase 1,Done,High,
Add YAML metadata to Guiding-Prompt.md,Add standardized YAML front matter to the guiding manifesto,Phase 1,Done,High,
Add YAML metadata to all archetypes,Add YAML metadata to Michael Osiris Taylor The Blind Shadow-Demon-Providence,Phase 1,Done,High,
Create _PHILOSOPHY_INDEX.md,Generate comprehensive index of all philosophical texts with cross-references and connection diagrams,Phase 1,Done,High,
Create _ARCHETYPES_INDEX.md,Generate master index of all characters organized by type Angels Devils Composite,Phase 1,Done,High,
Create CONTRIBUTING.md,Write complete contribution guidelines with PR process metadata requirements YAML templates,Phase 1,Done,High,
Create _metadata.json,Generate centralized metadata store with all categories organized for Phase 2 navigation,Phase 1,Done,High,
Create PHASE_1_STATUS.md,Document Phase 1 implementation status checklists and testing procedures,Phase 1,Done,High,
Create _ORPHAN_TAXONOMY.md,Complete orphan classification system with 6 semantic categories and graduation paths,Phase 1,Done,High,
Update README.md with Phase 1 status,Update README with new navigation links and Phase 1 status indicators,Phase 1,Done,High,
Create folder structure for Phase 1b,Create Philosophy Archetypes/Angels Archetypes/Devils Archetypes/Composite Rituals Orphans,Phase 1b,Ready,High,
Move philosophical texts to Philosophy/,Use git mv to move all 5 philosophical texts to new Philosophy folder,Phase 1b,Ready,High,
Move archetypes to subfolders,Reorganize archetypes into Angels Devils Composite subfolders using git mv,Phase 1b,Ready,High,
Update YAML connects_to paths,Update all connects_to fields in YAML to reflect new folder structure,Phase 1b,Ready,High,
Update _metadata.json with new paths,Refactor _metadata.json to reflect new folder organization,Phase 1b,Ready,High,
Update _PHILOSOPHY_INDEX.md links,Ensure all links in philosophy index point to new Philosophy folder paths,Phase 1b,Ready,High,
Update _ARCHETYPES_INDEX.md links,Ensure all links in archetypes index point to new folder structure,Phase 1b,Ready,High,
Update README.md navigation,Verify all README links match new folder structure and paths,Phase 1b,Ready,High,
Test all links manually,Click through all index files and documentation to verify no broken links,Phase 1b,Ready,High,
Validate JSON and YAML,Run validators to ensure _metadata.json and all YAML front matter is correct,Phase 1b,Ready,High,
Create logical git commits,Commit changes by category Philosophy Archetypes metadata etc,Phase 1b,Ready,High,
Push Phase 1b branch,git push origin reorganize/phase-1b-folders,Phase 1b,Ready,High,
Create PR and merge Phase 1b,Create pull request on GitHub review and merge to main,Phase 1b,Ready,High,
Create Phase 1c branch,git checkout -b reorganize/phase-1c-orphans,Phase 1c,Backlog,High,
Create orphan folder structure,Create Classified Questions Directives States Fragments Symbolic Numbered Unclassified folders,Phase 1c,Backlog,High,
Review orphan inventory,List and count all current orphan files to understand what needs classification,Phase 1c,Backlog,High,
Archive empty orphan files,Move void and empty files to .archive/empty folder,Phase 1c,Backlog,High,
Classify interrogative orphans,Move What Why How Where files to Orphans/Classified/Questions,Phase 1c,Backlog,High,
Classify directive orphans,Move But Until And Make files to Orphans/Classified/Directives,Phase 1c,Backlog,High,
Classify state orphans,Move KHAOS Mirror THE-VOID Amnesia files to Orphans/Classified/States,Phase 1c,Backlog,High,
Classify fragment orphans,Move short poetic files to Orphans/Classified/Fragments,Phase 1c,Backlog,High,
Classify symbolic orphans,Move {{ [[ & notation files to Orphans/Classified/Symbolic,Phase 1c,Backlog,High,
Archive numbered orphans,Move Orphan_0 through Orphan_98 to Orphans/Numbered,Phase 1c,Backlog,High,
Add YAML metadata to key orphans,Add metadata to 20-30 meaningful orphans with orphan_type and connects_to,Phase 1c,Backlog,Medium,
Create Questions README.md,Generate README for Orphans/Classified/Questions with philosophy and file index,Phase 1c,Backlog,Medium,
Create Directives README.md,Generate README for Orphans/Classified/Directives with philosophy and file index,Phase 1c,Backlog,Medium,
Create States README.md,Generate README for Orphans/Classified/States with philosophy and file index,Phase 1c,Backlog,Medium,
Create Fragments README.md,Generate README for Orphans/Classified/Fragments with philosophy and file index,Phase 1c,Backlog,Medium,
Create Symbolic README.md,Generate README for Orphans/Classified/Symbolic with philosophy and file index,Phase 1c,Backlog,Medium,
Create Numbered README.md,Generate README for Orphans/Numbered with explanation of systematic archive,Phase 1c,Backlog,Medium,
Create Unclassified README.md,Generate README for Orphans/Unclassified explaining temporary holding space,Phase 1c,Backlog,Medium,
Create master orphan index,Generate Orphans/_ORPHAN_INDEX.md with complete archive index and navigation,Phase 1c,Backlog,Medium,
Update _ORPHAN_TAXONOMY.md,Update taxonomy with actual counts and real classification results,Phase 1c,Backlog,Medium,
Test all orphan links,Verify all new orphan file paths and cross-references work correctly,Phase 1c,Backlog,Medium,
Create logical commits for orphans,Commit changes by category and archive strategy,Phase 1c,Backlog,Medium,
Push Phase 1c branch,git push origin reorganize/phase-1c-orphans,Phase 1c,Backlog,Medium,
Create PR and merge Phase 1c,Create pull request on GitHub review and merge to main,Phase 1c,Backlog,Medium,
Build dynamic navigation system,Create browse.html and update navigation.js to read from _metadata.json,Phase 2,Backlog,High,
Implement search functionality,Build search.html with full-text indexing across all markdown files,Phase 2,Backlog,High,
Create timeline view,Generate timeline.html showing project evolution and phase progression,Phase 2,Backlog,High,
Add breadcrumb navigation,Implement breadcrumb system for better navigation across folders,Phase 2,Backlog,Medium,
Update constellation view,Enhance index.html D3.js network graph with new folder structure,Phase 2,Backlog,Medium,
Create GitHub issue templates,Generate templates for bugs features and documentation requests,Phase 2,Backlog,Medium,
Create pull request templates,Generate templates with checklists for different PR types,Phase 2,Backlog,Medium,
Test Phase 2 navigation,Verify all new navigation features work correctly across all views,Phase 2,Backlog,High,
Create Python index-generator script,Build script to auto-generate indices from YAML metadata,Phase 4,Backlog,Medium,
Create link validation script,Build script to validate all internal links in repository,Phase 4,Backlog,Medium,
Setup CI/CD for automation,Configure GitHub Actions for metadata validation and link checking,Phase 4,Backlog,High,
Create metadata extraction tool,Build tool to extract YAML metadata and populate _metadata.json automatically,Phase 4,Backlog,Medium,
Test Phase 4 automation scripts,Verify all automation works correctly with actual repository,Phase 4,Backlog,High,
Deploy Phase 4 CI/CD pipeline,Set up automated validation on every commit and PR,Phase 4,Backlog,High,
